date,GDP,CNP16OV,GDPDEF,AWHNONAG,CE16OV,COMPNFB,PCEPILFE,DFF,PCE,FPI,BAA,GS20,GS10,GS30,GDI,AAA,LTGOVTBD
2014-06-30,17432.909,247625,103.512,33.7,145913,103.397,102.981,0.09,11756.9,2934.034,4.82,3.18,2.62,3.44,17710.493,4.22,
2014-09-30,17721.657,248233,103.957,33.7,146569,104.091,103.362,0.09,11915.3,3008.181,4.74,3.01,2.5,3.26,18009.844,4.12,
2014-12-31,17849.912,248843,104.123,33.8,147482,105.183,103.645,0.1,12044.5,3051.671,4.74,2.69,2.28,2.97,18191.296,3.88,
2015-03-31,17984.178,249901,104.09,33.8,148106,106.544,103.834,0.11,12091.6,3064.734,4.5,2.32,1.97,2.55,18298.594,3.57,
2015-06-30,18219.405,250461,104.675,33.6,148715,107.391,104.277,0.13,12248,3089.113,4.83,2.62,2.17,2.89,18460.943,3.9,
2015-09-30,18344.713,251099,105.048,33.7,148946,107.75,104.63,0.13,12376.2,3117.623,5.24,2.65,2.22,2.96,18563.637,4.09,
2015-12-31,18350.825,251741,105.049,33.7,149612,107.706,104.889,0.16,12421.3,3093.36,5.42,2.6,2.19,2.96,18595.588,3.99,
2016-03-31,18424.283,252581,104.941,33.6,150895,107.679,105.322,0.36,12523.5,3102.202,5.31,2.32,1.92,2.72,18673.493,3.93,
2016-06-30,18637.253,253180,105.657,33.6,151104,108.056,105.847,0.37,12688.3,3133.784,4.67,2.15,1.75,2.57,18718.347,3.59,
2016-09-30,18806.743,253855,106.043,33.6,151695,108.553,106.363,0.39,12822.4,3169.316,4.26,1.91,1.56,2.28,18880.601,3.34,
2016-12-31,18991.883,254534,106.551,33.6,152062,109.707,106.746,0.45,12959.8,3201.252,4.64,2.52,2.13,2.82,19035.543,3.81,
2017-03-31,19190.431,254247,107.058,33.6,152492,110.878,107.189,0.7,13104.4,3274.831,4.66,2.78,2.44,3.04,19307.009,3.96,
2017-06-30,19356.649,254771,107.411,33.7,153175,111.465,107.54,0.95,13212.5,3316.145,4.5,2.64,2.26,2.9,19496.93,3.8,
2017-09-30,19611.704,255357,107.973,33.6,153812,112.644,107.934,1.15,13345.1,3344.967,4.33,2.58,2.24,2.82,19638.393,3.65,
2017-12-31,19918.91,255941,108.713,33.7,153856,114.07,108.516,1.2,13586.3,3426.046,4.27,2.62,2.37,2.82,19905.592,3.56,
2018-03-31,20163.159,256937,109.355,33.7,154940,115.239,109.132,1.45,13728.3,3500.938,4.47,2.91,2.76,3.03,20252.224,3.75,
2018-06-30,20510.177,257456,110.281,33.8,155580,115.39,109.707,1.74,13939.8,3571.551,4.78,3,2.92,3.08,20460.054,3.94,
2018-09-30,20749.752,258066,110.767,33.8,155875,116.349,110.136,1.93,14114.5,3596.671,4.81,3,2.93,3.07,20716.9,3.91,
2018-12-31,20897.804,258703,111.256,33.7,156645,116.71,110.612,2.22,14211.9,3625.164,5.14,3.17,3.03,3.27,20848.62,4.13,
2019-03-31,21098.827,258389,111.473,33.7,156745,119.468,110.902,2.4,14266.3,3670.075,4.97,2.85,2.65,3.01,21056.738,3.83,
2019-06-30,21340.267,258864,112.188,33.6,156896,120.28,111.414,2.4,14511.2,3674.673,4.6,2.58,2.33,2.78,21237.802,3.59,
2019-09-30,21542.54,259432,112.664,33.6,157846,120.262,111.997,2.19,14678.2,3677.56,4.02,2.08,1.8,2.28,21393.075,3.1,
2019-12-31,21729.124,260015,113.043,33.6,158628,121.276,112.355,1.65,14795,3680.236,3.91,2.1,1.79,2.26,21630.272,3.03,
2020-03-31,21534.907,259629,113.493,33.6,157748,122.525,112.815,1.25,14584.1,3669.469,3.89,1.71,1.38,1.88,21482.789,2.91,
