date,obs_gdp,obs_hours,obs_wages,obs_gdpdeflator,obs_corepce,obs_nominalrate,obs_consumption,obs_investment,obs_BBBspread,obs_longinflation,obs_longrate,obs_tfp,obs_gdi,obs_AAAspread,obs_nominalrate1,obs_nominalrate2,obs_nominalrate3,obs_nominalrate4,obs_nominalrate5,obs_nominalrate6
1961-03-31,0.30725416835004626,,0.67044822009108,0.21515666918312526,0.1676446327252279,0.4975,-0.4316505521310132,-1.6248808680589977,0.3024999999999999,,,0.25589510572582563,-0.16221676832814946,0.10499999999999987,,,,,,
1961-06-30,1.3144923737276937,,1.1527157301245428,0.2325651783185556,0.3286915856074657,0.4325,0.8851198909012314,1.1044474102096635,0.3024999999999999,,,3.3174893086243764,1.3052896259474478,0.11750000000000005,,,,,,
1961-09-30,1.5357761454124041,,0.48126376735970755,0.25579265010384766,0.4365815758013092,0.42,0.22833782314146678,1.7131305990255585,0.2775000000000001,,,1.219217092574735,1.2335553020867973,0.1100000000000001,,,,,,
1961-12-31,1.5735520461264585,,0.4044917141816984,0.31438172822317867,0.24045354231558846,0.6,1.3992494714976766,2.4424083672956898,0.27,,,1.281717092574735,1.9731718647314267,0.09499999999999997,,,,,,
1962-03-31,1.3991148459428615,,1.0722996777684402,0.5139273502547503,0.36529720986915315,0.615,0.6219079336595268,1.088845177410258,0.24249999999999994,,,0.29642297492767605,0.8362459216755047,0.08000000000000007,,,,,,
1962-06-30,0.5342486476918262,,0.5060787530604682,0.1589591456554018,0.3866716975159168,0.6525,1.0360118952745356,2.35622112575099,0.26749999999999996,,,-0.07122408389585343,0.7396224569971466,0.08999999999999997,,,,,,
1962-09-30,0.8482156552997333,,0.498774385895695,0.21155323162971307,0.3286308130722837,0.7125,0.4919232753068048,0.1908716326375015,0.25750000000000006,,,1.2927465043394408,0.63380667058337,0.08000000000000007,,,,,,
1962-12-31,-0.046863352299109096,,0.6971619058707579,0.20524856934192037,0.1864986835738769,0.73,1.1075422421459535,-0.9804970094820842,0.25749999999999995,,,0.9103935631629703,0.7897776253360078,0.0824999999999999,,,,,,
1963-03-31,0.7081334098289371,,0.5534601973505415,0.43840491085345157,0.33257266920649897,0.7425,0.17927069194418888,0.5056374306568356,0.23249999999999993,,,0.047115855150477115,0.48477072181172254,0.06000000000000005,,,,,,
1963-06-30,0.7397700202299129,,0.32350458735546095,0.1748252193529698,0.3763309409606119,0.74,0.5378453840002129,3.6602936201551084,0.20750000000000002,,,0.5956233178370444,1.0691000658310745,0.050000000000000044,,,,,,
1963-09-30,1.7950547506783598,,0.8914528805119337,0.13382598802915702,0.3805051874230081,0.8325,1.3218627857559673,1.6165890047864728,0.19500000000000006,,,2.1254740641057013,0.9616211398085106,0.05750000000000011,,,,,,
1963-12-31,0.2800454382481554,,0.32861125268270897,0.8049848015045935,0.48472112066182405,0.8625,0.004082132875193878,2.030459844857513,0.16999999999999993,,,-0.1842274284316124,0.49111796002421215,0.04249999999999998,,,,,,
1964-03-31,1.7060281067298622,-44.645669492133344,-0.4711052674276517,0.31673843751027775,0.4215203135343071,0.865,1.7378129011783816,2.415140843110841,0.15999999999999992,,,1.0956233178370445,1.2714770519063334,0.047499999999999876,,,,,,
1964-06-30,0.7065447695564941,-43.36089620851977,0.8811331961186109,0.22972672634651303,0.2984252007511401,0.8725,1.3513444603435287,0.06722472285193293,0.16249999999999987,,,0.2336830193295816,1.091882079903872,0.05249999999999999,,,,,,
1964-09-30,1.172388247672762,-43.88381543398488,0.9069097889047084,0.4007562471320725,0.27552780972879276,0.865,1.383942867938659,0.9776448579119523,0.16000000000000014,,,1.0620412282848055,1.0298123892704458,0.05750000000000011,,,,,,
1964-12-31,-0.06409813505512396,-43.668887855094226,0.27775514412441416,0.45036133470133244,0.2528168425460997,0.895,-0.20286276792325086,1.0369950777262882,0.15749999999999997,,,-0.6506453388793737,0.5838915627516927,0.0625,,,,,,
1965-03-31,2.0143413688350265,-43.100911702319,-0.10272124413200912,0.5049512870952455,0.3780308569877988,0.995,1.6425719200078515,3.5934670869689045,0.14749999999999996,,,2.150102459016394,1.8297827160666635,0.05499999999999994,,,,,,
1965-06-30,0.8820699694477296,-42.46931846167911,0.21704727893027131,0.45735660310617376,0.31121206631072873,1.02,0.7621756433330296,2.1554796552734623,0.15250000000000008,,,-0.342321783407849,0.8939687856198253,0.05750000000000011,,,,,,
1965-09-30,1.830782180058721,-42.43777415884688,0.6602753672834916,0.3823451382610532,0.3102465408634014,1.02,1.329681017698503,2.123602639047517,0.15999999999999992,,,2.051617610531545,1.0328964744011015,0.0625,,,,,,
1965-12-31,1.9013136798231356,-42.17178943500028,0.7781856561645983,0.6879029391814395,0.3309554603722731,1.0425,2.030516068397148,2.3428198080530205,0.1399999999999999,,,1.6122236711376055,1.7874727548784497,0.050000000000000044,,,,,,
1966-03-31,2.0326963889349514,-41.807461343164206,1.079384375399528,0.6389088096651729,0.4970833663119567,1.14,1.2015130154137355,2.2301302031744963,0.1299999999999999,,,1.9379812468951818,1.795812496901772,0.039999999999999813,,,,,,
1966-06-30,-0.038131997360468795,-41.861785304111734,0.754795628265692,0.8162860393653215,0.8105468569029828,1.2275,-0.1144705468213214,-0.5380844544824348,0.19999999999999996,,,-1.399139965226031,0.28500355620100226,0.0774999999999999,,,,,,
1966-09-30,0.4617206873652524,-42.083640616869886,0.4575507234377718,0.9621240784230434,0.8199385730118802,1.3525,0.5541883519946111,-1.2230830246103719,0.24,,,-0.6506453388793737,0.3051508852684126,0.10250000000000004,,,,,,
1966-12-31,0.43396415586391957,-41.95393680109809,0.5131992355823733,0.8343314191068263,0.86059505299656,1.39,-0.028879804632420125,-2.746866928828895,0.32999999999999985,,,-0.023779667237582576,0.49800022087775897,0.1399999999999999,,,,,,
1967-03-31,0.4905984301909472,-43.246386137386416,0.9253620207167246,0.4145697379706714,0.5504745348203333,1.205,0.04813780663486256,-2.3343882716722275,0.33000000000000007,,,-0.21034683141668709,0.19080530297499454,0.14000000000000012,,,,,,
1967-06-30,-0.3377951284843528,-43.58987967568502,1.107940084535275,0.5091251384365503,0.6669817858475202,0.9975,0.9179244663968689,2.0071440372587013,0.28500000000000014,,,0.1814442133594324,0.1496311517884541,0.10499999999999998,,,,,,
1967-09-30,0.5389715746024315,-43.03567475205426,0.3889069696180858,0.9523121474109608,0.904749612247624,0.9725,0.08272944304377194,0.4691009874211116,0.3075000000000001,,,-0.21407817470026916,0.6427876910911179,0.13000000000000012,,,,,,
1967-12-31,0.33695895407976906,-42.77896568077143,0.2473216197682926,1.1057982195651572,1.0036954394953224,1.0425,-0.06084403796668969,2.6234869214365464,0.29499999999999993,,,-0.057361756789821375,0.5894817456529644,0.12250000000000005,,,,,,
1968-03-31,1.5955430283889571,-43.616102243802466,1.5484573361169374,1.1040628761717741,1.1348789348897714,1.1975,1.9072921212270666,1.745615760843755,0.345,,,1.9351755566430149,1.0493681545472366,0.16999999999999993,,,,,,
1968-06-30,1.230021845170981,-42.926112098700806,0.5674340118090648,1.0458891289514938,1.1570087247123162,1.495,1.0450858067279523,-0.776323906224452,0.38749999999999996,,,0.875474064105701,1.0706004143833159,0.19500000000000006,,,,,,
1968-09-30,0.3276351518541665,-43.16914438150809,0.6364154959192958,0.979249932606896,1.109306675793853,1.4875,1.4643464317966037,0.7241980225144662,0.3975000000000002,,,0.10524650433944074,0.9038717437912069,0.20250000000000012,,,,,,
1968-12-31,-0.06005117126028914,-43.36538722598375,0.5733246554184057,1.4010913604165065,1.1555727668774551,1.48,-0.31081898700302535,2.6070654087205103,0.3500000000000001,,,-0.7256358486017358,0.22212868301902944,0.15250000000000008,,,,,,
1969-03-31,1.0918086415244277,-42.96044018957358,0.3263452806535838,1.0257010856295157,1.089414507422637,1.6425,0.593989004628015,2.4051262413242624,0.3174999999999999,,,-0.4829887897782064,0.5081998601984328,0.14749999999999996,,,,,,
1969-06-30,-0.17284242110979786,-42.86741651469663,0.3442720972442248,1.265060803174256,1.1919434575817789,2.0825,0.18413229580551693,-0.13632487020891482,0.36250000000000004,,,-0.8455541696364932,0.13054044371632045,0.1875,,,,,,
1969-09-30,0.17419143066831344,-42.915457897325254,0.37292890854340177,1.3940723644942032,1.144978443390876,2.245,-0.18927949926206278,0.460545061966966,0.39250000000000007,,,-0.4759889522451889,0.18961906229024716,0.1775,,,,,,
1969-12-31,-0.9839378822609102,-42.87330987484535,0.6448439404571848,1.279703054177439,1.1645713077345743,2.235,0.17648253974298367,-2.726378777252214,0.4149999999999998,,,-1.4763319672131148,-0.7044908941167938,0.18999999999999995,,,,,,
1970-03-31,-0.6573092595029584,-43.65450505456402,0.39608270336345397,1.3998147799664906,1.0867912826919568,2.14,-0.13402222390099805,-1.604466154536266,0.49750000000000005,,,-1.1299033957845432,-1.185631178113633,0.28,,,,,,
1970-06-30,-0.37517698075364425,-45.16205582521833,0.1891891402569179,1.3851218301362156,1.1251490816568843,1.97,-0.3471305657310797,-1.85107366171815,0.4600000000000002,,,0.1465741168321404,-0.4990662404270818,0.2500000000000002,,,,,,
1970-09-30,0.3925210930198153,-45.98448220166741,0.8066754641414153,0.816444028716834,1.1036341608031908,1.6775,0.494950284329021,0.11727421593267229,0.6125,,,1.2381234126067884,0.30294133923036703,0.31500000000000017,,,,,,
1970-12-31,-1.614643354963241,-46.7562174656207,-0.31917312097717865,1.3143672240550686,1.3981243936469934,1.3925,-0.8290415229743608,-0.7199465794581306,0.6749999999999998,,,-1.9691891100702579,-1.480774566007792,0.3325,,,,,,
1971-03-31,2.1376364429330996,-47.47622335711807,0.5326320706827259,1.5074418687705649,1.256270241115054,0.965,0.7878909464219097,1.6886264472007917,0.6099999999999999,,,2.9986680327868855,1.4321089780331864,0.2825,,,,,,
1971-06-30,-0.009443816892207302,-47.44259289145002,0.15208244332630683,1.3044820706725524,1.1367965798928736,1.1425,0.1878399256258323,3.2155011135560185,0.5949999999999998,,,-0.2694672131147541,0.10247076914839948,0.30999999999999983,,,,,,
